review;label
Отличный кофе для начала рабочего дня, бодрит и заряжает эмоциями.  ;1
Приятный вкус! ;1
Обожаем этот кофе!  ;1
Насыщенный вкус  ;1
Не плохой кофе,без кислинки. ;1
Cofee Очень вкусный и хороший.Покупал на замену Bushudo.Оправдал себя.К сожалению сливочный аромат шоколада есть но он очень далекий и то только после послевкусие отдает когда уже попил!Кофе стоит того.Всякие чибо ,якобсы и нескофе курят в сторонке!Рекомендую.На падарок тоже тянет!! ;1
Hacыщенный, богатый, с дымком аромат. Вкусный. Шикарный. ;1
Лучший из этого бренда. ;1
Отличный кофе! Действительно и вкус и запах натурального только что сваренного кофе. Крепкий и ароматный. ;1
Вкус и аромат свежемолотого кофе ;1
Очень понравился, из всех перепробованных молотых в растворимом у Жардин самый вкусный и ароматный, даже пенка получается сверху как у молотого. Теперь покупаем только его. В магазинах, к сожалению, вообще не встречается. ;1
Вкус натурального кофе и обалденный аромат ;1
Очень вкусный и ароматный, действительно чувствуется добавление молотого кофе ;1
Отличный кофе с приятным вкусом.Без кислинки и без горчинки.Некрепкий. ;1
нежный вкус, ароматный, как будто свежемолотый ;1
Кофе вкусный ;1
Муж пьёт только этот кофе  ;1
Кофе понравился, даже осадок молотого есть, по соотношению цена-качество - отлично ! ;1
Цена,Быстро растворяется.Кофе с небольшой кислинкой.Насыщенный вкус. ;1
Взяла на работу.Кофе очень понравился.Кому не крепко можно и побольше положить в чашку.Взяла все кофе этой серии.Все очень разные,но все понравились.И что немаловажно ни от одного кофе у меня не было изжоги.На работе обычно пьем заварной,но на быстрых перекусах открыли для себя растворимый и не пожалели. ;1
Удобная упаковка, насыщенный вкус  ;1
кофе приятный  ;1
цена хорошая ;1
Отличный кофеёк, бодрит. Симпатичная баночка.  ;1
Брали для мамы. Мы довольны. Кофе очень отличается от других по вкусу в лучшую сторону. Маме показался крепким, мне не очень. Подарить не стыдно.  ;1
Хороший, крепкий кофе с приятным ароматом по доступной цене. ;1
Хороший крепкий кофе, гранулиророванный с добавлением молотого.  ;1
вкусный,ароматный, крепкий ;1
Отличный кофе, покупала с хорошей скидкой  ;1
отличный вкус, пьём с удовольствием ;1
буду покупать ещё ;1
Отличный кофе, насыщеный вкус, в чашке остается настоящий осадок гущи натурального кофе.  ;1
Кофе супер, озон супер, доставка быстрая ;1
Вкусный кофе.цена  ;1
Впервые заказывала это кофе ,почитав отзывы. Очень приятный ,насыщенный вкус.рекомендую! Цена со скидкой 180р. ;1
Кофе, действительно,молотый в растворимом, с присущим осадком на дне чашки. Рекомендую. ;1
Мягкий насыщенный вкус.  ;1
Лучший из сублимированных кофе.  ;1
очень вкусный кофе ;1
вкусный кофе, не сыпется на еще более мелкие крошки ;1
приятный вкус,не горчит ;1
кофе очень приятный аромат, и вкус ;1
очень не плохой кофе , не пережонный, не горький  ;1
не было кофе который обычно берем , взял этот ниразу не пожалел , буду еще брать достойный вариант ;1
Хороший вкус, легко заваривается ;1
Купила на Озон, нравится, заказала ещё ;1
Вкусный кофе ;1
Постоянно заказываю ;1
мой самый любимый кофе. радует, когда в наличии на Озоне, тк в магазинах больше не найти ;1
Вкус натурального кофе. ;1
Приемлемая цена! ;1
